Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
chân-tướng,"réalité (en philosophie); image vraie; physionomie vraie; réalité; ce qui est réel, ce qui existe",真相,"Về triết-học chỉ cái hình-ảnh chân thực của sự-vật, gồm cái gì có thực trong vũ-trụ; hình-tượng chân thực, không phải giả-dối; cái hình-tượng thật, nghĩa bóng là chính thực cái việc gì nó như thế hẳn."
chất-vấn,interroger; interpellation parlementaire,質問,Đem việc gì hỏi vặn người ta; nghị-viện hỏi vặn chính-phủ về việc gì.
châu-đáo,"tout prévoir, sans rien laisser de côté",周到,"Lo-liệu trước sau, đến nơi đến chốn, không sót điều gì."
châu-tri,porter à la connaissance de tous; circulaire (officielle),週知,"Biết khắp, như những tờ công-văn tờ sức bảo cho hết thầy mọi người đều biết."
chế-độ,"institution, régime",制度,"Thể cách xếp đặt việc chính-trị cùng các việc khác trong nước; cách xếp đặt trong một nước về đường chính-trị, pháp-luật, xã-hội, v. v.."
chế-ngự,"gouverner, régenter",制御,"Cai-quản, cai-trị, bắt phải theo."
chí-đức yếu-đạo,"grande vertu, haute moralité; idéal moral de la vie",至德要道,"Đức lớn đạo mầu, cái đạo đức to lớn mầu nhiệm."
chiếm-đoạt,s'emparer par la force,佔奪,Chiếm cướp của người.
chiêm-tinh,artrologie (thiên-văn-học là: astronomie),占星,"Thuật xem sao, đoán số. Tức là thiên-văn-học của đời xưa."
chiến-hào,tranchée,戰壕,Hầm đào để đánh nhau. Tức nôm ta thường gọi là hầm-hố.
chiến-tích,"beau fait de guerre ; exploit, victoire",戰績,Công đánh trận giỏi ; đánh trận thắng.
chiến-tuyến,"front, ligne de bataille",戰線,"Hàng trận, đường quân đứng để đánh trận."
chiếu biểu,"chiếu = edit, ordonnance impériale; biểu = rapport, mémorial, placet au trône",詔表,"Bài chiếu bài biểu. Chiếu là nhời vua bảo xuống cho quan dân; biểu là nhời quan dân dâng lên vua, đều là một lối văn chữ hán."
chiếu-diệu,rayonner,照耀,"Sáng tỏ, chiếu sáng, trói lọi."
chiếu-hải-đăng,phare,照海燈,"Đèn rọi ngoài bể, để soi bể để tàu thuyền đi lại cho dễ."
chiếu-hội (tờ),notification,照會,"Chữ về ngoại-giao, dùng để chỉ những công-văn của chính-phủ cùng công-sứ lĩnh-sự các nước đưa đi đưa lại để báo tỏ việc gì."
chi-lưu,affluent (d'ung fleuve),支流,"Dòng sông nhánh, các đường nước nhỏ ở tự con sông nhơn chảy ra."
chí-nguyện,"volonté, désir, aspiration",志願,"Cái ý muốn; lòng muốn, bụng sở-thích của người ta."
chính-biến,trouble politique; coup d'etat,政變,Sự loạn nhân vì chính-trị mà sinh ra.
chính-cục,scène politique; situation politique,政局,Tình-hình thuộc về chính trị.
chính-đáng,"juste, légitime",正當,"Thật phải, thật xứng-đáng."
chính-giới,"monde politique, monde gouvernemental",政界,Gồm những người có quyền-chức về chính-trị.
chính-giới,monde politique; sphère gouvernementale,政界,"Trong bọn cầm quyền chính-trị trong nước, các quan-lại."
chính-khách,conseiller politique,政客,Người không phải làm quan trong một nước mà dự bàn chính-trị trong nước ấy.
chính-lý,raison; raisonnable; qui est conforme à la saine raison,正理,"Lễ ngay, lễ phải."
chính-sách,méthode politique; politique (suivie par un gouvernement à un moment donné),政策,Phương-phép thuộc về chính-trị; cách chính-trị của một chính-phủ nào làm trong một lúc ấy.
chính-trị-vĩ-nhân,"grand homme d'etat, grand politique",政治偉人,"Người giỏi chính-trị, những nhà chính-trị có tiếng."
chính-truyền,orthodoxie,正傳,"Nghĩa chính trong một đạo, đời trước truyền cho đời sau."
chi-phối,"diriger, direction",支配,"Cai-quản, sai khiến."
chí-tình,"amitié sincère; intimité; sentiment sincère; amitié, amour sincère",至情,Tình thân-thiết nhau; tình thâm-thiết.
chuẩn-y,se conformer à; consentir à,准依,"Chiếu theo, thuận cho, không thay đổi."
chu-chí,,周致,Đến nơi đến chốn. Xem Châu-đáo.
chủ-chiến,"qui préconise la guerre, qui sout[...] la guerre; parti de la guerre",主戰,"Chủ về mặt đi đánh, nhất định đánh, phản đối với mặt giảng-hoà."
chú-dẫn,annoter et expliquer; gloser (un texte),註引,Chua nghĩa dẫn tích để giải một chữ nào hay một câu nào.
chủ-động,promoteur,主動,Người chủ-trương đứng đầu trong một việc gì.
chu-kính,circonférence et diamètre,周徑,Đường vòng tròn và đường thẳng giữa.
chúng-khẩu-đồng-từ,"à l'unanimité; de l'avis, du consentement de tous",衆口同詞,Ai ai cũng đều nói như thế cả.
chung-kiếp,"éternellement, jusqu'à l'éternité",終劫,"Mãi mãi, đến cùng đời, hết kiếp."
chung-thẩm,juger en dernier ressort,終審,"Nói về quyền các tòa-án được quyết-xử, người đi kiện không được đem thưa lên tòa trên nữa."
chứng-thực,"certifier vrai, attester",證實,Làm chứng là có thực.
chủng-tộc,race; nationalité,種族,"Nòi giống, cùng họ cùng loài."
chú-nhập,"se jeter, se déverser dans",注入,"Rót vào, lọt vào, chảy vào."
chú-ý,concentrer son attention sur; observer attentivement; remarquer,注意,"Để ý vào một việc gì, có ý nhận kỹ; đề ý vào, chăm chỉ nghĩ vào một việc đó."
chuyên-môn,spécialité; spécialiste; se spécialiser pour...,專門,"Chuyên từng môn một, chỉ theo đuổi làm mãi một nghề, học mãi một khoa."
