Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
lạm-dụng,abuser,濫用,Dùng lạm quá ra ngoài giới-hạn.
lâm-thời-chính-phủ,gouvernement provisoire,臨時政府,Chính-phủ đặt tạm đương lúc cần cấp.
lâm-tuyền khoáng-dã,solitude déserte,林泉曠野,"Nơi rừng suối, đồng không vắng vẻ."
lang-miếu,palais et résidences,廊廟,"Chỗ triều-đình, chỗ vua quan ở."
lăng-tẩm,"sépulture royale, mausolée",陵寢,"Mồ mả của nhà vua, nhà chúa."
lăng-tẩm,"mausolée, tombeau impérial",陵寢,"Chỗ mồ mả nhà vua; lăng là chỗ chôn, tẩm là chỗ thờ ảnh."
lao-động,"peiner, travailler avec peine; le travail (par opposition au capital)",勞動,"Phải làm-lụng khó-nhọc, như những người làm ruộng làm thợ."
Lạp-đinh,,拉丁,Tiếng tầu dịch âm tiếng Latin tức ta gọi là la-tinh.
lập-hiến-chính-thể,régime constitutionnel,立憲政體,Lối chính-trị có vua nhưng theo hiến-pháp của quốc-hội đặt ra.
lập-luận,argumenter; soutenir une thèse,立論,Dựng ra một cái lời bàn.
"lập-ngôn, trước-thuật","composer des livres, répandre des idées",立言著述,"Làm ra sách vở, để ban bố tư tưởng."
lê-thứ,"le peuple, la masse du peuple",黎庶,Người dân thường.
lịch-đại đế-vương,les souverains des temps passés,歷代帝王,Vua chúa các đời trước.
lịch-sử-học-phái,ecole historique,歷史學派,Phái học chuyên khảo-cứu về những sự thực đời trước.
liên-bang,fédération d'etats,聯邦,Mấy nước liên hợp lại làm một nước.
liên-hoàn,s'enchainer comme des anneaux; nom d'un genre de poésie annamite,連環,"Vòng liền với nhau, chữ này là một lối thơ làm câu đầu bài dưới nối với câu dưới bài trên như cái vòng nọ dính với vòng kia."
liên-lạc,"intimement uni, solidaire, solidarité",連絡,"Liền tiếp, nối với nhau, không có gián-cách."
liên-minh,"allié, pays alliés",聯盟,Các nước ký kết ước cùng liên hợp với nhau.
liệt-sĩ,"un héros, un brave; homme d'une vertu ferme et constante",烈士,"Người kháng-khái, giữ nghĩa-khí không chịu khuất-nhục."
liệt-thánh,les empereurs passés; les souverains antérieurs,列聖,Các vua đời trước.
liệt-tích,"vice, défectuosité; faute commise",劣跡,"Vết xấu, công việc xằng."
linh-hồn,âme; principe spirituel dans l'homme,靈魂,"Hồn thiêng các nhà tôn-giáo cho xác người ta chết rồi mà còn cái hồn không tuyệt-duyệt, cái đó gọi là linh-hồn, đối với nhục-thể 肉 體 là xác thịt."
lĩnh-thổ,"territoire, domaine",領土,Phần đất riêng của mình.
linh-tính,"l'âme, la partie spirituelle dans l'homme",靈性,Cái tính thiêng liêng cảm giác mà biết được.
lĩnh-tụ,chef (d'un parti politique),領袖,"Người đứng đầu một đảng chính-trị, v. v."
loan-hoàng,phénix; homme de génie; symbole de l'amour conjugal,鸞凰,"Chim loan chim hoàng hai giống chim quí, nghĩa bóng là người khác thường; và còn nghĩa là vợ chồng hoà-hiệp cùng nhau, lấy cái ý hai con chim ấy tiếng kêu thường hoạ nhau."
lợi-dụng,"utiliser, mettre à profit, exploiter",利用,Nhân cái gì đem dùng ra cho có lợi.
lỗi-lạc xuất-chúng,"esprit supérieur, hors du commun",磊落出衆,"Người cao-thượng, khác người thường."
lộng-ngoã,naissance d'une fille; fille,弄瓦,"Chơi ngói, dùng để nói truyện đẻ con gái, vì xưa đẻ con gái lúc biết cầm thường lấy sành ngói cho làm đồ chơi."
long-thịnh,"pompeux, magnifique",隆盛,"Rất thịnh, thịnh vượng lắm."
long-thuyền,barque impériale; yach impériale,龍船,"Thuyền rồng, thuyền vua ngự."
luân-chuyển,rouler; voyager partout,輪轉,Bánh xe chuyền vần xoay tròn mãi đi. Người ta đi du lịch vòng quanh khắp mọi nơi.
luận-đề,"dissertation; sujet à traiter, à développer; thèse",論題,"Bài luận, bài bàn."
luân-hồi,retour éternel; métempsycose,輪迴,"Xoay vòng bánh xe, nghĩa là người ta kiếp này chết đi lại sinh ra kiếp khác, xoay vần mãi không bao giờ dứt (điển về đạo phật)."
luận-lý-học,logique,論理學,"Sự học suy-lý biện-luận cho phải đường. Còn có tên nữa gọi là danh-học 名學, nghĩa là học cái cách dựng-đặt nhời nói, để nghị-luận cho hợp nhẽ."
luật-khoa-tiến-sĩ,doctorat en droit; docteur en droit,律科進士,Người có bằng tiến-sĩ về khoa học Pháp-luật.
luật-sư,avocat,律師,"Người chuyên-môn giữ luật-pháp, bệnh quyền-lợi cho người ta. Tức ta gọi thường là thầy-kiện. Còn tên chữ nữa là hộ biện sư 護辯師."
lục-dụng,inscrire au tableau d'avancement ou de promotion,錄用,Ghi tên vào sổ cứ coi sổ mà bổ-dụng.
lục-đường,litt. la salle verte. se dit d'une maison de plaisance servant de lieu de repos ou de villégiature a un haut fonctionnaire en retraite; lieu de repos,綠堂,"Nhà xanh, chỗ quan về trí-sĩ ở. Khi trước ông Bùi-Độ người nhà Đường, lúc thôi làm tướng về nhà có làm một chỗ chơi gọi là Lục-dã-đường 綠野堂."
lục-quân,troupes de terre; ministère de la guerre,陸軍,"Quân trên cạn. Bộ lục-quân là coi về quân trên cạn, đối với bộ hải-quân."
lục-tục,"incessamment; successivement, à tour de rôle incessamment",陸續,"Nối nhau cái nọ đến cái kia, lần lượt; lần-lượt nối nhau dần-dần"
lữ-hành,voyageur,旅行,Người đi dọc đường.
lữ-lực,force physique,膂力,Thân-thể mạnh mẽ.
lung-lạc,"duper, accaparer; faire entrer dans son piège",籠絡,Quyến-dỗ lừa-lọc người ta cho vào khuôn-vây của mình.
lương-bổng,"solde, appointements des fonctionnaires",糧俸,Tiền lương-bổng của những người làm việc.
lương-chính,bonne politique,良政,"Cái chính tốt, cái việc chính hay, cũng như mĩ chính 美政."
lương-phương,bonne recette (de médecine); bon procédé,良方,"Bài thuốc hay, phương-phép phải."
lương-thảo,vivres et fourrages,糧草,"Thóc gạo cho quân lính, rơm cỏ cho lừa ngựa."
lưỡng-toàn,parfait (à tous les points de vue),兩全,Vẹn vẽ cả hai đằng.
lữ-thứ,"voyageur, logement pour voyageurs",旅次,"Lữ là người đi dọc đường, phải ở chợ lại một chỗ là nơi lữ thứ."
lưu-huyết,effusion de sang,流血,"Nhân việc gì mà đến máu chảy, giết lẫn nhau."
lưu-lộ,faire apparaître,流露,Trôi chảy phơi bày ra bề ngoài.
lưu-phong dư-vận,"ce qui reste des bonnes habitudes, des charmes du passé",流風餘韻,"Cái thói sót, cái dịp thừa, những thói hay của đời trước còn lại."
lưu-tệ,mauvaise pratique léguée par le passé; vieille routine,流弊,Để tệ lại về sau.
lưu-toan,acide sulfurique,硫酸,Chất toan có lưu-hoàng.
lưu-vực,vallée (d'un fleuve),流域,"Gồm những đất ở trong vùng nước chảy của một con sông ; thường thường là khoảng đất thấp ở giữa hai mạch núi, con sông chảy trong."
lưu-ý,porter son attention sur,留意,"Để ý vào đấy, bụng chăm-chỉ về một việc gì."
luyện-đan,purifier le cinabre (chercher le remède qui préserve de la mort),煉丹,"Theo tiên-thuật ở nước Tầu ngày xưa là nấu luyện một thứ thuốc tiên bằng đan-sa (tức là châu-sa) dùng thuốc ấy thì được trường-sinh, không phải chết."
luyện-kim,alchimie,煉金,Nghề đời xưa tin nấu đúc được vàng bạc hay là chế tạo loài ngũ kim.
luyện-tập,exercer; assouplir par l'exercice,鍊習,"Rèn tập, tập cho quen, rèn đúc cho nên hay nên khá."
ly-biệt,séparation,離別,Đương ở với nhau một chỗ mà từ-giã nhau mỗi người một ngả phải xa cách nhau từ đấy.
ly-ca,le chant de la séparation,離歌,"Trong lúc ly-biệt nhau, làm khúc hát để tiễn biệt."
lý-do,raison d'une chose,理由,Nhẽ bởi đó mà sinh ra.
lý-hoá,physico-chimique,理化,"Vừa thuộc về vật-lý-học, vừa thuộc về hoá-học."
ly-hôn,divorcer; divorce,離婚,Vợ chồng bỏ nhau.
ly-kỳ tuyệt-thú,charme original,離奇絕趣,"Cái thú lạ lùng khác thường, rất là vui thú."
ly-sầu,tristesse de la séparation,離愁,Nhân phải xa-cách nhau mà sinh lòng sầu.
lý-tài,finances,理財,Phép quản-trị của cải.
lý-thuyết,"théorie, doctrine",理說,"Nhời bàn, nhời dạy lấy nhẽ mà suy."
lý-tưởng-chủ-nghĩa,idéalisme,理想主義,Chủ-nghĩa trọng cái tư-tưởng hơn sự thực-tế.
mặc-thủ-cổ-chỉ,"litt. comme l'encre s'attache au vieux papier: s'attacher trop aux vieux livres, aux doctrines surannées",墨守故紙,"Giữ khư khư lấy sách vở cũ, nghĩa lý cũ, không chịu theo thời mà biến đổi."
mai-một,"se perdre, disparaître peu a peu",埋沒,Dần dần biến mất đi.
mại-nô,esclavage,賣奴,Tục buôn bán người giống da đen làm nô-lệ.
ma-lực,force occulte,魔力,"Sức u-ám, hình như nó xui khiến run-rủi bắt mình phải theo phải làm như thế."
mã-lực,cheval-vapeur,馬力,"Sức mạnh của máy móc, chiều theo sức một con ngựa."
mãn-hạn,expiration du délai,滿限,Đủ hạn như làm việc gì hạn cho mấy năm đúng bấy-nhiêu năm thế là đủ hạn.
mãnh-liệt,grande force; violence,猛烈,"Mạnh lắm, mạnh dữ."
mãn-niên-hạn,expiration d'un terme,滿年限,"Trọn đủ hạn mấy năm đó, như cái điều-ước gì hạn bao nhiêu năm là hết, hoặc cái án giam cấm người ta hạn chừng ấy năm là tha, lúc hết hạn đó thời gọi là mãn-niên-hạn."
mẫn-tiệp,"actif, vigilant, diligent",敏捷,"Cần-mẫn, siêng năng, nhanh-nhẹn."
mãn-ý mãn-nguyện,"contentement, satisfaction",滿意滿願,Trong ý muốn sự gì mà được thoả thích sung túc.
mạo-hiểm,s'exposer à un danger,冒險,Xông pha sự nguy hiểm.
mao-ốc,chaumière,茅屋,Nhà gianh.
Mao-thi,,毛詩,"Tức là Kinh-Thi. Trong sách nói là Mao-công truyền Kinh-Thi nên gọi là Mao-thi. Nhưng Mao-công cũng không rõ là ai. Có sách nói là Mao Hanh 毛亨 người nước Lỗ, đời nhà Hán."
mạt-sát,"déprécier, critiquer à outrance",抹殺,Nói huỷ-khí người ta đi không cho người ta còn có giá-trị gì hết.
mật-thiết,intime; union,密切,"Thiết lắm, sát khịt vào."
mẫu-quốc,nation-mère; métropole,母國,Dân đi ở thuộc-địa gọi bản-quốc mình là mẫu-quốc.
mẫu-thống-chế-độ,régime du matriarcat,母統制度,"Đời xưa loài người mới sinh ra chưa có cưới gả, con đẻ ra chỉ biết có mẹ chứ không biết cha, cách-thức loài người ta ăn ở với nhau lúc bấy-giờ gọi là Mẫu-thống-chế-độ."
mâu-thuẫn,s'opposer (comme la lance et le bouclier); ne pas s'accorder,矛盾,"Cái đinh-ba và cái mộc, cái đinh-ba thì dùng để đâm cái mộc thì dùng để che đỡ, ý nói hai đàng không hợp nhau."
mệnh-ý,"volonté, intention; indique l'idée principale (à développer)",命意,Chủ ý định bảo sai khiến như thế nào; chỉ bầy cái ý chính.
mĩ-đàm,"trait, anecdote remarquable",美談,"Việc nhiều người truyền-thuật, lấy làm có hứng-vị."
mĩ-diệu,"beauté, perfection",美妙,"Đẹp, khéo, tuyệt đẹp."
miệt-thị,regarder avec mépris; traiter avec dédain,蔑視,"Coi khinh rẻ, bỉ bạc."
miêu-tả,"peindre, représenter",描寫,"Mạc ra, vẽ ra cho giống như hệt."
mĩ-nghệ,beaux-arts,美藝,Những nghề khéo đẹp.
minh-chủ,arbitre,盟主,"Người đứng giữa, hai bên bầu lên để phân-giải một việc; các nước hợp nhau kết ước, có một người hay một nước làm chủ để điều-đình phân-xử công-việc."
minh-chứng,prouver clairement; preuve eclatante,明證,Cái chứng có rõ ràng.
minh-mẫn,actif et éclairé,明敏,"Thông-minh nhanh-nhẹn, người có tư-chất tốt."
minh-sướng,clair et facile,明暢,"Rõ ràng, sáng nghĩa nghe dễ hiểu."
mĩ-tác,œuvre artistique,美作,Cuộc tạo tác khéo.
mĩ-thuật,"art, artistique, esthétique",美術,"Nghề đẹp, nghề lấy sự đẹp làm cốt, nghề làm ra sự đẹp."
mộc-thạch,litt. arbre et pierre: insensible (comme un arbre ou un pierre),木石,"Cây đá, nói là người vô tình ít cảm."
mộ-hoài,nostalgie du soir; pensée du crépuscule,暮懷,"Chiều đến nhớ tưởng điều gì, sự gì, bụng cảm lúc chiều hôm."
mộng-du,voyager en rêve; voyager par l'esprit,夢遊,Nằm mơ đi chơi; đi chơi bằng tinh-thần.
mộng-tưởng,rêve; illusion,夢想,Tư tưởng mơ mòng.
Môn-la chủ-nghĩa,doctrine de Monroe,門羅主義,Môn-la (Monroe) làm tổng-thống nước Hoa-kỳ từ 1817 đến 1825. Xướng ra chủ-nghĩa không để người Âu-châu can-thiệp đến việc Mĩ-châu.
mô-phạm,modèle; norme,模範,Khuôn mẫu làm phép tắc cho người ta bắt chiếc.
mô-tả,"peindre, représenter",模寫,"Phỏng vẽ ra, hình-dung ra."
mục-hạ vô-nhân,littéralement: « ne voir personne sous ses yeux »; au figuré : mépriser tout le monde,目下無人,"Dưới mắt không có người, có ý khinh người không coi ai vào đâu."
mục-kích,voir de ses yeux; témoin oculaire,目擊,Mắt trông thấy rõ ràng.
mục-tiêu,"repérer, repérage d'artillerie",目標,"Độ con mắt nhìn. Về pháo-binh thì tiếng lấy mục tiêu, nghĩa là dùng thứ máy riêng mà đo, tính xem cái đích ở chỗ nào để cho súng bắn vào đấy."
mục-vịnh tiểu-ca,chant bucolique et pastoral,牧詠樵歌,"Những câu đồng-giao của đứa chăn trâu, và câu hát của người kiếm củi."
muộn-hứng,"tristesse, mélancolie",悶興,Buồn không có hứng thú gì.
nam-châu,le pays du sud; le pays d'annam,南州,Cõi đất phương Nam.
nam-huân,vent tiède du sud,南薰,Gió nồm hoà ấm; tích xưa có khúc đàn Nam-Huân của vua Ngu-Thuấn.
Nam-Kha,,南柯,"Xưa có người nằm chơi ở mé nam dưới gốc cây, chợp ngủ đi thấy có lâu đài vua quan cực đẹp, sực tỉnh dậy thì ra vẫn nằm ở dưới gốc cây, bên cạnh có một tổ kiến. Nghĩa bóng chỉ sự phú-quí ở đời không được bao lâu, chẳng qua cũng là một giấc Nam-kha."
nam-song,fenêtre tournée vers le sud,南窗,Cửa sổ trông về hướng Nam.
nam-thanh-nữ-tú,"hommes distingués, femmes belles",男清女秀,Giai thanh gái đẹp.
não-cân,puissance nerveuse; intelligence,腦筋,"Gân óc con người ta, có tính nhớ và tính suy nghĩ, hay là cảm giác mà biết được."
não-lực,"puissance nerveuse, intelligence",腦力,"Sức óc, tức là trí-khôn."
nệ-cổ,"attaché au passé, à la tradition",泥古,"Chấp mê thói cũ, quá theo thói xưa không bỏ."
ngạc-nhiên,"etonnement, stupeur",愕然,Ngơ ngác lấy làm lạ.
ngạnh-khái,grandes lignes; grosso-modo,梗概,"Đại-khái, điều cốt-chính."
ngạnh-trực,"droit, inflexible, juste, opiniâtre",硬直,Người tính thẳng không chịu luồn lỏi.
ngẫu-hứng,"plaisir passager, inspiration d'un moment",偶興,"Thú vui ngẫu nhiên, cảm-hứng một lúc."
ngẫu-nhiên,par hasard,偶然,Bất thình lình.
nghệ-thuật,arts et métiers; art (par opposition à métier),藝術,"Nói gồm các công-nghệ, các phương-thuật thuộc về thực-nghiệp; chỉ những nghề cao-nhã, nghề chơi bời, đối với nghệ-nghiệp là nghề sinh-nhai."
nghĩa-lợi-lưỡng-toàn,qui satisfait à la fois au devoir et à l'intérêt,義利兩全,Việc gì vừa có nghĩa vừa có lợi hai đằng trọn-vẹn cả.
nghĩa-lý,"qui est conforme à la justice, à la raison",義理,Cái gì nói ra mà có nghĩa có lễ phải.
nghĩa-sư,"troupes combattant pour la justice, troupes volontaires",義師,Quân lấy nghĩa mà đi đánh người ta.
nghĩa-vụ,devoir,義務,Chỉ cái công việc của người ta ở trong xã-hội phải làm cho trọn. Về pháp-luật thì nghĩa là trách-nhiệm phải nên làm.
nghi-biểu,modèle,儀表,"Cái gì đáng làm mẫu, đáng người ta bắt trước."
nghịch-thuyết,paradoxe,逆說,Nhời bàn ngược lại nhẽ thường.
nghịch-ý,"faire, dire une chose contraire à l'opinion commune; paradoxe",逆意,"Trái-ý, nói cái gì làm cái gì mà làm cho người ta trái-ý."
nghiêm-luật,etat de siège,嚴律,"Lúc nguy-hiểm như khi chiến-tranh đặt luật riêng, nghiêm-khắc hơn khi thường, giao quyền quan văn cho quan võ."
nghiên-tinh đàm-tứ,pénétrer profondément par la pensée,研精覃思,"Nghiền ngẫm, suy nghĩ cho chí rộng, chí sâu."
nghiêu-hãnh,"intrigue, intriguer, intrigant",僥倖,"Cầu-cạnh, luồn-lỏi, chạy chọt để được việc gì."
nghi-gia,bonne conduite d'une femme (dans la famille de son mari),宜家,Đàn bà về nhà chồng ăn ở tử-tế.
nghị-luận,discuter sur une question,議論,"Bàn nói điều gì, hay vấn-đề nào."
nghị-lực,"energie, vigueur; volonté ferme",毅力,"Sức kiên-nhẫn, mạnh-bạo."
nghị-sự,délibérer,議事,Bàn việc.
nghị-tràng,siège d'une assemblée délibérative,議場,Chỗ họp nhau lại mà bàn định việc gì.
nghi-vấn,interroger sur un point douteux,疑問,Hỏi sự nghi-ngờ chưa biết rõ.
nghi-vọng,espérer une chose qu'on n'est pas sûr d'avoir,疑望,Bụng trông mong không lấy làm chắc.
ngoạ-giải,"se désagréger (comme des tuiles et des briques qui ne se tiennent plus entre elles et tombent); désunion, désorganisation",瓦解,"Ngói tan, nghĩa là không cùng lòng cùng sức nhau lìa ra mỗi người một ngả, tan tành ra như ngói vỡ."
ngoại-cảnh,monde extérieur; ambiance; milieu,外境,Cảnh ở bề ngoài mà mình cảm sức thấy.
ngoại-giao,diplomatie; diplomatique,外交,Sự giao thiệp với các nước ngoài.
ngoại-giới,le monde extérieur,外界,"Bên ngoài, những cái gì ở ngoài lại."
ngộ-cảnh,circonstance de la vie; ce qui arrive de bon ou de mauvais,遇境,Những cảnh người ta gặp phải ở đời.
ngộ-nhận,malentendu,誤認,"Nhận nhầm, hiểu sai không phải."
ngự-chế,"fait, composé par l'empereur (se dit d'une poésie, d'un morceau littéraire)",御製,Bài vua làm ra.
ngục-thất,"maison de détention, prison",獄室,"Nhà giam, nhà ngục."
ngự-giá,char impérial,御駕,Xe kiệu vua đi.
ngự-lãm,"vu, lu par l'empereur",御覽,Vua xem.
ngư-lôi-hạm,torpilleur,魚雷艦,Tầu bắn ngư-lôi. Ngư-lôi hay là thuỷ-lôi (torpille) là thứ trái phá dùng bắn nổ dưới nước.
ngụ-ngôn,"fable, apologue; symbole",寓言,"Lời nói bóng, truyện nói bóng mà ngụ ý khác."
ngưng-thần định-chí,"se recueillir, concentrer l'esprit (pour une méditation)",凝神定志,"Yên định tinh thần, ý chí để nghĩ việc gì."
ngưng-trệ,"gelé, obstrué; qui ne s'avance pas, qui ne progresse pas",凝滯,"Đọng lại mắc lại không được lưu-thông, không được tấn-tới."
ngược-đãi,traiter avec injustice; brutaliser,虐待,"Đãi tàn-tệ, trái lễ công bằng."
ngư-ông,vieux pêcheur,漁翁,Người già đánh cá.
ngư-phụ,"sampanier, pêcheur",漁父,"Người thuyền chài, người đánh cá."
ngũ-thường,les cinq vertus cardinales (dans l'ancienne morale chinoise),五常,"Năm đạo thường là: nhân 仁, nghĩa 義, lễ 禮, trí 智, tín 信."
nguy-cơ,crise,危機,"Lúc đương nguy-hiểm, lúc phải suy-vi."
nguyên-động-lực,force agissante,原動力,"Cái sức động trước tiên, rồi làm cho các cơ quan khác đều động lên cả. Cái thế lực mạnh."
nguyên-liệu,"matériaux bruts, matière brute (non travaillée)",原料,Vật liệu còn nguyên chưa chế tạo.
nguyên-thủ,chef d'etat,元首,"Ông đầu nước, vua hay là tổng-thống."
nguyên-thuỷ,"commencement, origine",原始,"Mới đầu, lúc khởi đầu."
nguyên-tố,principe; élément primordial; eléments (constitutifs),元素,"Cái nguyên chất cốt tử; chất sẵn có, chất mộc mạc. Nhân chất đó mà làm ra thành các chất khác được, nói bóng là cái phần cốt-chính nhân đó mà làm ra sự gì vật gì."
nguyên-toàn,"source, origine",源泉,"Cái nguồn cái suối, tức là chỗ gốc của cái việc gì bởi đó mà sinh ra."
nguyên-văn,texte original,原文,Nguyên bài văn của người trước làm.
nhân-công,œuvre de l'homme; art,人工,"Công phu người làm, hoặc tô điểm trạm vẽ thêm vào, cho khéo, cho đẹp."
nhân-dân,habitants d'un pays; population; le peuple,人民,Người dân trong một xứ.
nhân-gian,dans le monde des hommes,人間,"Gồm cả thế-gian, cõi người ta ở."
nhãn-giới,horizon,眼界,Cái giới-hạn của con mắt mình trông.
nhẫn-nại,endurance,忍耐,"Cố nhịn cố chịu, chịu thương chịu khó mà làm việc chẳng quản nhọc nhằn."
nhân-phẩm,dignité humaine,人品,Phẩm giá làm người.
nhân-quyền-tuyên-ngôn,déclaration des droits de l'homme,人權宣言,Nhời công-cáo về quyền làm người của chính-phủ cách-mệnh nước Pháp năm 1789.
nhân-thân,la personne humaine; soi-même,人身,Thân người ta.
nhân-tuần,se transmettre par la tradition; suivre la tradition,因循,Đời trước truyền lại đời sau theo.
nhân-vật hoàn-toàn,"homme complet, doué de toutes les qualités",人物完全,Hạng người có tài có đức trọn vẹn.
nhập-học,entrer à l'école; commencer ses études,入學,"Vào học, học-trò vào học trong trường."
nhập-thế,"qui entre dans le monde, qui vit dans le siècle; mondain, séculier (par opposition à xuất-thế: qui sort du monde, qui entre dans la vie religieuse)",入世,"Vào trong cuộc đời, nghĩa là người làm công việc với xã-hội, trái với xuất thế 出世 là những người đi tu đi ẩn, không gánh vác việc đời."
nhập-tịch,naturalisation,入籍,"Chính nghĩa là vào sổ, vào ngạch. Chữ này ta thường dùng để chỉ sự người bản-quốc vào làm dân tây."
nhất-ban,"généralité, totalité, ensemble",一般,"Nhất loạt, đại-thể, hết thảy."
nhất-đán,un jour; du jour au lendemain,一旦,Vụt có một ngày sẩy ra như thế.
nhất-diện,d'un côté; d'une part,一面,"Một mặt, một mặt thế này, một mặt thời thế kia."
nhã-thú,"charme, plaisir délicat, non vulgaire",雅趣,Thú thanh nhã không tục.
nhất-tề hoạt-động,mouvoir d'un même mouvement régulier et automatique (comme une machine),一齊活動,Cùng một loạt chuyển-động đều dặn như cái máy các bánh xe cùng chạy đều một loạt.
nhất-thiết,tout; la totalité; entièrement,一切,Hết thảy.
nhất-thống,réunion de plusieurs pays sous un régime politique; unité politique; empire,一統,"Gồm cả lại làm một, như một nước nhơn gồm nhiều nước nhỏ mà thành."
nhất-trí,uniformité,一致,"Giống-nhau, theo một cách, một thể-thức."
nhiệm-vụ,rôle,任務,Công việc thuộc về mình phải làm.
nhiệt-đái,"les tropiques, zone tropicale",熱帶,"Dải đất nóng, ở giữa khoảng mặt giời chiếu vào."
nhiệt-độ,température,熱度,Độ nóng.
nhiệt-tâm thiển-thức,"homme au cœur généreux, mais a l'esprit borné",熱心淺識,"Cái bụng nóng nẩy, kiến thức nông nổi."
nhiệt-thành,"enthousiasme, exaltation",熱誠,Lòng thành thực sốt-sắng vì một việc gì.
nhiệt-thành-khai-hoá,qui veut sincèrement instruire le peuple,熱誠開化,Thực lòng sốt-sắng mở-mang sự giáo-hoá cho người ta.
nhiễu-loạn,trouble; désordre,擾亂,Làm rối loạn.
nhiễu-loạn trật-tự,"troubler l'ordre, la sécurité",擾亂秩序,"Làm rối loạn thứ bậc, rối loạn sự yên ổn."
Nhị-Nùng,"fleuve nhi (fleuve rouge) montagne nùng, (deux lieux célèbres de l'ancien hanoi)",洱濃,"Núi Nùng, sông Nhị là danh-thắng Hà-nội."
nho-lâm,"litt. la forêt des lettrés; le monde lettré, le monde littéraire",儒林,"Rừng nho, nghĩa là trong một đám rặt những người học-hành văn-chương giỏi."
nho-nhã phong-lưu,"manière distinguée, aristocratique",儒雅風流,Là cách người văn-nhân tài-tử.
nhỡn-kiến,œil; point de vue,眼見,"Mắt trông ; cái cách trông, cách xét."
nhỡn-tuyến,"point de vue; rayon visuel, regard",眼線,"Chính-nghĩa là cái «giây mắt», chỉ con mắt riêng để xét một sự gì; tia sáng của con mắt."
nhục-thể,"corps, corporel",肉體,"Hình-thể, xác-thịt (đối với linh-hồn)."
như-lai,un des noms du bouddha,如來,"Tên hiệu Phật. Kim-cương-kinh nói rằng: Phật vốn không đâu lại, mà không đi đâu, nên gọi là Như-lai. Lai theo sách Đạo-viện-tập thì nghĩa chữ Như-lai là: vốn biết gọi là như, hiện biết gọi là lai (本覺爲如, 今覺爲來). Tên Ấn-độ là Tathagata."
nhũng-nhiễu,"vexer, commettre des abus, des vexations",宂擾,"Quấy rối, hà hiếp lấy tiền của của người."
nhu-nhược,"faible, irrésolu, incapable",柔弱,"Mềm yếu, nhù nhờ, không cương quyết."
nhượng-bộ,concession réciproque,讓步,"Nhường bước, hai bên chịu nhường nhịn nhau."
niên-hạn,limite d'âge,年限,"Hạn năm, định một hạn là mấy năm."
niên-hiệu,titre de période; nom de règne; date,年號,"Đặt ra một cái hiệu gì để ghi-nhớ lấy năm trước năm sau, như ta thời lấy hiệu các vua năm mấy năm mấy làm niên-hiệu, Tây thời lấy Thiên-chúa giáng-sinh năm thứ mấy làm niên-hiệu."
nội-cảnh,"monde intérieur; domaine de la pensée, de l'entendement",內境,"Cảnh ở bề trong, ở trong lòng mà mình tự-tưởng biết."
nội-tâm-quan-sát,observation psychologique; observation intérieure; introspection,內心觀察,"Xem xét trong cái tâm-thể con người ta, biết được hết những chỗ sâu kín ở trong bụng người ta."
nội-thuộc,dépendre politiquement de,內屬,Nước nọ phải lệ thuộc vào nước kia cai-trị.
nô-lệ,esclave; esclavage,奴隸,Kẻ làm đầy-tớ người ta mà cả tính-mệnh tài-sản của mình phải thuộc quyền vào người ta hết thảy.
nông-gia,agriculteur,農家,Nhà làm ruộng.
nông-phố-học-vấn,"science agricole, horticole",農圃學問,"Sự học về nghề làm ruộng, làm vườn."
nông-tang,l'agriculture et la culture du murier (élevage des vers à soie),農桑,Nghề làm ruộng giồng dâu.
nữ-công,travail de femme,女工,"Công-việc của người con gái phải làm như may, thêu, nấu, nướng, v. v.."
nữ-học-đường,ecole de filles,女學堂,Trường học dạy con gái.
nữ-nhi,"fille, femme, le sexe faible",女兒,"Người đàn bà, con gái."
nữ-sĩ,"jeune fille, femme cultivée, femme lettrée",女士,Người con gái có học hay chữ.
nữ-sử,femme lettrée,女史,Người đàn bà văn thơ chữ nghĩa giỏi.
nữ-tắc,règles d'éducation des filles,女則,Phép tắc dạy đàn bà con gái.
oanh-oanh liệt-liệt,se dit d'une ardeur héroïque ou d'une grande puissance,轟轟烈烈,"Nói công nghiệp hiển-hách lừng-lẫy hoặc là khí-thế mạnh-tợn gớm-ghê, ai cũng phải sợ."
phả-cập,"se répandre partout, atteindre tout le monde",普及,"Rộng khắp, kịp đến cả mọi nơi."
phẩm-đích,qualitatif,品的,"Thuộc về phẩm. (Phàm tiếng bằng chữ nho có chữ đích theo sau là thường để chỉ như trong mẹo tây gọi là forme adjective. Như «lượng» (quantité), «lượng đích» (quantitatif), «phẩm» (qualité), «phẩm-đích» (qualitatif) v. v..)"
phạm-vi,"domaine (d'une science, d'un art)",範圍,"Chính nghĩa là cái khuôn, cái vòng. Thường dùng để chỉ cái bờ cõi, cái khu-vực của một môn học, một nghề, v. v."
phản-bội,"trahir, trahison",反背,"Làm trái hẳn đi, phản đối lại."
phản-động,"réagir, réaction",反動,Bị kích-động mà vận-động đối lại.
phản-kích,contre-attaque,反擊,"Bị công-kích, quay lại đánh giả."
phân-liệt,"partage, division, désunion",分裂,"Chia xé ra từng miếng, nói về nhân-quần thi là không có đoàn kết với nhau, nói về đất nước thì là không được toàn vẹn bị xẻ lẻ từng nơi."
